Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Combined,Outlet_Code
FDC14,12.792854228644991,2,0.072221801,43.6454,OUT019,24,2,0,0,125.8362,1,4
FDV38,19.25,0,0.17034855100000001,55.7956,OUT010,11,1,2,0,163.7868,1,0
NCS17,18.6,1,0.080829372,96.4436,OUT018,0,1,2,2,2741.7644,2,3
FDP33,18.7,0,0.0930934742,256.6672,OUT018,0,1,2,2,3068.0064,1,3
FDO23,17.85,0,0.14246229066666669,93.1436,OUT045,7,1,1,1,2174.5028,1,7
DRH01,17.5,0,0.097904029,174.8738,OUT046,12,2,0,1,2085.2856,0,8
NCX29,10.0,1,0.08929113699999999,146.7102,OUT049,10,1,0,1,3791.0652,2,9
FDV20,12.792854228644991,2,0.059511812000000004,128.0678,OUT027,24,1,2,3,2797.6916,1,5
DRZ11,8.85,2,0.113123893,122.5388,OUT018,0,1,2,2,1609.9044,0,3
FDX10,12.792854228644991,2,0.12311145300000001,36.9874,OUT027,24,1,2,3,388.1614,1,5
FDB34,12.792854228644991,0,0.026480953999999998,87.6198,OUT027,24,1,2,3,2180.495,1,5
FDU02,13.35,0,0.102511504,230.6352,OUT046,12,2,0,1,3435.528,1,8
FDK43,9.8,0,0.02681843,126.00200000000001,OUT013,22,0,2,1,2150.534,1,1
FDA46,13.6,0,0.117818348,192.9136,OUT049,10,1,0,1,2527.3768,1,9
FDC02,21.35,0,0.06910283099999999,259.9278,OUT018,0,1,2,2,6768.5228,1,3
FDL50,12.15,2,0.042277867000000004,126.5046,OUT013,22,0,2,1,373.5138,1,1
FDM39,6.42,0,0.08949892599999999,178.1002,OUT010,11,1,2,0,358.2004,1,0
NCP05,19.6,1,0.018756953777777776,153.3024,OUT045,7,1,1,1,2428.8384,2,7
FDV49,10.0,0,0.025879577,265.2226,OUT045,7,1,1,1,5815.0972,1,7
FDL12,15.85,2,0.121632721,60.622,OUT046,12,2,0,1,2576.646,1,8
FDS02,12.792854228644991,2,0.25539489600000004,196.8794,OUT019,24,2,0,0,780.3176,1,4
NCL17,7.39,1,0.067779712,143.8812,OUT046,12,2,0,1,3134.5864,2,8
FDM40,10.195,0,0.159803853,141.5154,OUT013,22,0,2,1,850.8924,1,1
FDR13,9.895,2,0.028696932,117.0492,OUT013,22,0,2,1,810.9444,1,1
FDA43,10.895,0,0.065041581,196.3794,OUT017,2,1,1,1,3121.2704,1,2
NCP18,12.15,1,0.028760012999999997,151.4708,OUT017,2,1,1,1,4815.0656,2,2
FDK21,7.905,0,0.010053105,249.0408,OUT018,0,1,2,2,6258.52,1,3
NCX54,9.195,1,0.048157338,106.1622,OUT045,7,1,1,1,2117.244,2,7
DRK35,8.365,0,0.071958197,38.0506,OUT049,10,1,0,1,796.9626,0,9
FDY21,15.1,0,0.17348130399999998,194.511,OUT046,12,2,0,1,4910.275,1,8
FDI26,12.792854228644991,0,0.061082177,180.0344,OUT019,24,2,0,0,892.172,1,4
FDM20,10.0,0,0.0364918673,246.9144,OUT018,0,1,2,2,3185.1872,1,3
FDV27,7.97,2,0.040071131,87.3514,OUT045,7,1,1,1,1062.6168,1,7
FDF09,12.792854228644991,0,0.012090074,38.2848,OUT027,24,1,2,3,484.7024,1,5
FDY40,12.792854228644991,2,0.15028599,51.0692,OUT019,24,2,0,0,147.8076,1,4
FDY45,12.792854228644991,0,0.026015518999999997,255.8356,OUT027,24,1,2,3,2543.356,1,5
FDC46,17.7,0,0.195068226,185.4266,OUT010,11,1,2,0,184.4266,1,0
FDH19,19.35,0,0.033082215,172.5738,OUT035,5,2,1,1,4865.6664,1,6
FDZ03,13.65,2,0.078946455,186.024,OUT045,7,1,1,1,1118.5439999999999,1,7
DRH37,17.6,0,0.041700756,164.8526,OUT045,7,1,1,1,2302.3364,0,7
NCI17,8.645,1,0.14342264300000002,95.84100000000001,OUT046,12,2,0,1,2027.361,2,8
FDJ58,15.6,2,0.10529607199999999,170.1764,OUT046,12,2,0,1,3435.528,1,8
FDL12,15.85,2,0.121531501,59.222,OUT013,22,0,2,1,599.22,1,1
FDH35,18.25,0,0.05810121044444445,164.7526,OUT045,7,1,1,1,4604.6728,1,7
FDG02,7.855,0,0.011324862,189.6188,OUT017,2,1,1,1,2285.0256,1,2
NCZ18,7.825,1,0.186357148,254.3698,OUT049,10,1,0,1,5580.7356,2,9
FDC29,8.39,2,0.024205661,114.0176,OUT046,12,2,0,1,2290.3520000000003,1,8
FDQ10,12.85,0,0.033230816,172.3422,OUT049,10,1,0,1,1207.0954,1,9
FDN48,12.792854228644991,0,0.113720344,89.9804,OUT019,24,2,0,0,643.1628,1,4
FDL04,19.0,0,0.11255650699999999,104.9622,OUT017,2,1,1,1,1587.933,1,2
FDV25,5.905,0,0.04441604033333333,222.5456,OUT045,7,1,1,1,5305.0944,1,7
FDD58,7.76,0,0.05935224099999999,101.87,OUT046,12,2,0,1,1697.79,1,8
FDN04,11.8,2,0.014087057,180.3344,OUT046,12,2,0,1,1427.4752,1,8
FDV45,16.75,0,0.045230944,187.9556,OUT018,0,1,2,2,4693.89,1,3
NCL18,12.792854228644991,1,0.293417759,194.6136,OUT019,24,2,0,0,583.2408,2,4
FDR12,12.792854228644991,2,0.031382044,171.3764,OUT027,24,1,2,3,3091.9752,1,5
FDG20,15.5,2,0.12639886,177.0028,OUT017,2,1,1,1,2479.4392,1,2
FDZ55,6.055,0,0.025403897999999998,160.99200000000002,OUT035,5,2,1,1,2716.4640000000004,1,6
FDQ49,12.792854228644991,2,0.039057677,155.963,OUT027,24,1,2,3,3285.723,1,5
FDN33,6.305,2,0.123115764,95.6436,OUT046,12,2,0,1,661.8052,1,8
FDN27,20.85,0,0.039624006,117.2808,OUT049,10,1,0,1,1523.3504,1,9
FDW20,20.75,0,0.040421193,122.17299999999999,OUT010,11,1,2,0,369.519,1,0
DRG27,8.895,0,0.10527411099999999,39.9138,OUT049,10,1,0,1,690.4346,0,9
DRI25,19.6,0,0.033970195,55.1614,OUT045,7,1,1,1,1381.535,0,7
FDA44,19.7,0,0.053212652,57.893,OUT035,5,2,1,1,622.523,1,6
NCR17,9.8,1,0.024378706,114.5492,OUT035,5,2,1,1,1274.3412,2,6
FDU04,12.792854228644991,0,0.009714595,120.0414,OUT019,24,2,0,0,487.3656,1,4
FDF41,12.15,0,0.131383762,246.046,OUT049,10,1,0,1,1231.73,1,9
FDB56,8.75,2,0.07461309,187.4556,OUT035,5,2,1,1,3755.112,1,6
NCP18,12.792854228644991,1,0.028459761,149.9708,OUT027,24,1,2,3,4363.6532,2,5
FDB56,8.75,2,0.07462720099999999,187.8556,OUT046,12,2,0,1,1314.2892,1,8
FDT28,13.3,0,0.063695084,151.0708,OUT045,7,1,1,1,1805.6496,1,7
FDD10,12.792854228644991,2,0.045797829000000005,178.5344,OUT027,24,1,2,3,2854.9504,1,5
FDW57,8.31,2,0.11585722300000001,179.1028,OUT049,10,1,0,1,3896.2616,1,9
DRB48,16.75,2,0.024832806000000002,38.7822,OUT013,22,0,2,1,667.7974,0,1
FDP09,19.75,0,0.034027909,212.0902,OUT018,0,1,2,2,3185.853,1,3
FDH14,17.1,2,0.046769599999999995,141.1838,OUT013,22,0,2,1,2247.7408,1,1
FDA47,10.5,2,0.11657670199999999,163.121,OUT013,22,0,2,1,1794.3310000000001,1,1
FDG12,6.635,2,0.004924115333333334,121.3098,OUT045,7,1,1,1,2530.7058,1,7
DRE60,12.792854228644991,0,0.278974075,225.372,OUT019,24,2,0,0,679.1160000000001,0,4
DRK49,14.15,0,0.035913805,41.4138,OUT013,22,0,2,1,812.2760000000001,0,1
FDD03,13.3,0,0.079806266,232.53,OUT046,12,2,0,1,699.09,1,8
FDS52,8.89,0,0.005505481,102.4016,OUT017,2,1,1,1,2732.4432,1,2
FDW39,12.792854228644991,2,0.064625342,176.937,OUT019,24,2,0,0,176.437,1,4
FDX34,12.792854228644991,0,0.071636937,121.7098,OUT027,24,1,2,3,4097.3332,1,5
FDV11,9.1,2,0.078393078375,173.2054,OUT045,7,1,1,1,3151.8972,1,7
FDD17,7.5,0,0.032677677999999995,239.0906,OUT049,10,1,0,1,5942.265,1,9
FDZ16,16.85,2,0.160760054,192.4478,OUT017,2,1,1,1,4843.695,1,2
FDZ46,7.485,0,0.06911065,109.0228,OUT035,5,2,1,1,2542.0244,1,6
DRA12,11.6,0,0.041177505,140.3154,OUT017,2,1,1,1,2552.6772,0,2
FDY58,11.65,0,0.040081193,227.0694,OUT018,0,1,2,2,1141.847,1,3
NCF19,13.0,1,0.035307322,47.5034,OUT017,2,1,1,1,680.4476,2,2
DRJ13,12.65,0,0.063017847,159.0578,OUT045,7,1,1,1,2085.9514,0,7
FDB14,20.25,2,0.171938781,92.512,OUT010,11,1,2,0,186.424,1,0
FDJ38,8.6,2,0.040197932,190.153,OUT035,5,2,1,1,3036.048,1,6
FDW11,12.6,0,0.049058014000000004,62.7194,OUT017,2,1,1,1,866.8716,1,2
FDL40,17.7,0,0.01161096,95.041,OUT035,5,2,1,1,868.8689999999999,1,6
DRI49,14.15,0,0.183507295,82.4276,OUT046,12,2,0,1,1137.1864,0,8
FDV38,19.25,0,0.102349519,52.7956,OUT017,2,1,1,1,928.1252,1,2
DRG23,8.88,0,0.08670898699999999,151.7682,OUT013,22,0,2,1,762.341,0,1
NCP30,20.5,1,0.032835147,40.2822,OUT045,7,1,1,1,707.0796,2,7
FDY25,12.792854228644991,0,0.033809913,180.5976,OUT027,24,1,2,3,7968.2944,1,5
NCH54,13.5,1,0.07266912,160.292,OUT046,12,2,0,1,1438.128,2,8
NCR53,12.792854228644991,1,0.144338493,224.4404,OUT027,24,1,2,3,6976.2524,2,5
FDS52,8.89,0,0.009163216,101.7016,OUT010,11,1,2,0,101.2016,1,0
FDG02,7.855,0,0.011307038,188.5188,OUT018,0,1,2,2,952.0939999999999,1,3
NCO26,7.235,1,0.076855628,116.0492,OUT046,12,2,0,1,1969.4364,2,8
FDH35,12.792854228644991,0,0.059956876,165.4526,OUT027,24,1,2,3,5262.4832,1,5
FDB51,6.92,0,0.038532062,60.5852,OUT045,7,1,1,1,1314.2892,1,7
FDX44,9.3,0,0.043209581,90.8172,OUT017,2,1,1,1,535.3032,1,2
NCN07,18.5,1,0.056816465,132.1284,OUT010,11,1,2,0,263.6568,2,0
NCC31,8.02,1,0.019866705,154.5972,OUT035,5,2,1,1,1402.1748,2,6
NCX54,9.195,1,0.048331717,105.1622,OUT017,2,1,1,1,1693.7952,2,2
NCO55,12.8,1,0.091221855,105.5938,OUT045,7,1,1,1,2143.876,2,7
NCC30,16.6,1,0.027622076000000002,177.6344,OUT049,10,1,0,1,2676.5159999999996,2,9
FDI16,14.0,2,0.14164533829999998,53.06399999999999,OUT035,5,2,1,1,905.488,1,6
FDP16,18.6,0,0.039355947,246.3802,OUT049,10,1,0,1,7370.406,1,9
FDB11,16.0,0,0.060836524,226.8404,OUT035,5,2,1,1,6301.1312,1,6
NCB06,17.6,1,0.082316506,160.692,OUT035,5,2,1,1,1597.92,2,6
FDA45,21.25,0,0.155350299,178.237,OUT035,5,2,1,1,529.311,1,6
NCO26,7.235,1,0.076841095,117.5492,OUT035,5,2,1,1,1969.4364,2,6
DRJ25,14.6,0,0.151419185,50.3692,OUT017,2,1,1,1,1034.6532,0,2
FDR28,13.85,2,0.026001976,161.52100000000002,OUT018,0,1,2,2,1794.3310000000001,1,3
FDI04,13.65,2,0.073209447,197.6426,OUT018,0,1,2,2,2768.3964,1,3
DRK12,12.792854228644991,0,0.041683481,31.29,OUT027,24,1,2,3,898.83,0,5
FDX20,7.365,0,0.042560252,226.172,OUT046,12,2,0,1,3169.208,1,8
NCI18,18.35,1,0.014081156000000001,223.5746,OUT018,0,1,2,2,3589.9936,2,3
FDB36,5.465,2,0.030340533875000006,132.5626,OUT018,0,1,2,2,262.3252,1,3
FDN13,18.6,0,0.152918384,99.8358,OUT017,2,1,1,1,1910.1802,1,2
DRD24,13.85,0,0.030969273999999998,140.9154,OUT017,2,1,1,1,1701.7848,0,2
FDQ28,14.0,2,0.06037677599999999,154.5656,OUT013,22,0,2,1,2471.4496,1,1
FDM22,14.0,2,0.04192285,54.763999999999996,OUT013,22,0,2,1,1331.6,1,1
FDR07,12.792854228644991,0,0.077367431,97.0094,OUT027,24,1,2,3,1808.9786,1,5
FDV25,5.905,0,0.045838211,222.5456,OUT018,0,1,2,2,3315.684,1,3
DRF49,7.27,0,0.071077939,114.2518,OUT046,12,2,0,1,2618.5914,0,8
FDW51,6.155,2,0.09465987099999999,214.55599999999998,OUT046,12,2,0,1,2769.728,1,8
DRL01,19.5,2,0.077608838,233.4958,OUT017,2,1,1,1,5375.0034,0,2
FDP25,15.2,0,0.021327477,216.8824,OUT017,2,1,1,1,2838.9712,1,2
FDL50,12.15,2,0.042485444000000004,125.0046,OUT018,0,1,2,2,1743.0644,1,3
NCB30,12.792854228644991,1,0.025578526,198.8084,OUT027,24,1,2,3,5555.4352,2,5
FDW11,12.6,0,0.048980800000000005,61.9194,OUT018,0,1,2,2,619.194,1,3
NCM43,14.5,1,0.019471688,164.821,OUT035,5,2,1,1,2120.573,2,6
FDK44,16.6,0,0.122918852,173.0738,OUT017,2,1,1,1,3823.0236,1,2
FDM15,11.8,2,0.057373797000000004,151.4366,OUT013,22,0,2,1,1360.2294,1,1
FDS31,13.1,2,0.044155597000000005,178.8318,OUT013,22,0,2,1,3969.4996,1,1
FDI32,17.7,0,0.291865402,115.1834,OUT010,11,1,2,0,345.5502,1,0
FDR47,17.85,0,0.0853547126,196.5794,OUT010,11,1,2,0,585.2382,1,0
FDB35,12.3,2,0.064750025,92.6804,OUT045,7,1,1,1,1010.6844,1,7
NCU05,11.8,1,0.098312421,81.4618,OUT010,11,1,2,0,161.1236,2,0
DRY23,12.792854228644991,2,0.191013663,42.1112,OUT019,24,2,0,0,42.6112,0,4
FDO24,11.1,0,0.176573035,157.4604,OUT045,7,1,1,1,3010.7476,1,7
FDQ28,12.792854228644991,2,0.060134441,153.0656,OUT027,24,1,2,3,6024.1584,1,5
FDV39,11.3,0,0.0072946519999999996,198.1426,OUT045,7,1,1,1,988.7130000000001,1,7
NCO17,12.792854228644991,1,0.128478462,117.944,OUT019,24,2,0,0,239.688,2,4
FDU50,5.75,2,0.075107656,112.8176,OUT013,22,0,2,1,1374.2112,1,1
FDT12,12.792854228644991,2,0.049381405999999996,226.8062,OUT027,24,1,2,3,4739.8302,1,5
FDK58,11.35,2,0.045165795999999994,100.0016,OUT018,0,1,2,2,1012.0160000000001,1,3
FDO08,12.792854228644991,2,0.09415375,165.7526,OUT019,24,2,0,0,657.8104,1,4
NCW29,14.0,1,0.028907832,130.431,OUT049,10,1,0,1,778.9860000000001,2,9
FDE04,19.75,2,0.018059621,179.766,OUT045,7,1,1,1,2336.958,1,7
NCB19,6.525,1,0.09043609400000001,85.0882,OUT049,10,1,0,1,2233.0932,2,9
FDV15,10.3,0,0.146399712,103.9648,OUT049,10,1,0,1,1661.8368,1,9
FDL58,5.78,2,0.07426435599999999,264.7568,OUT049,10,1,0,1,4745.8224,1,9
FDA08,11.85,2,0.050186725999999994,164.1526,OUT045,7,1,1,1,3124.5994,1,7
FDT43,16.35,0,0.020631654,50.1324,OUT018,0,1,2,2,467.3916,1,3
NCX06,12.792854228644991,1,0.01561108,182.5976,OUT027,24,1,2,3,5070.7328,2,5
FDT20,10.5,0,0.041395445,37.6164,OUT046,12,2,0,1,540.6296,1,8
FDB41,19.0,2,0.097313129,48.0718,OUT046,12,2,0,1,992.7078,1,8
NCN55,14.6,1,0.059582996,238.8538,OUT049,10,1,0,1,6008.845,2,9
FDE40,12.792854228644991,2,0.09866365199999999,62.9194,OUT027,24,1,2,3,2105.2596,1,5
FDX49,12.792854228644991,2,0.101338651,232.63,OUT027,24,1,2,3,5359.69,1,5
NCM53,18.75,1,0.052146455999999994,104.62799999999999,OUT045,7,1,1,1,745.696,2,7
FDE36,5.26,2,0.041764487,161.8868,OUT035,5,2,1,1,3275.736,1,6
FDN57,18.25,0,0.054344185999999996,140.2154,OUT045,7,1,1,1,1701.7848,1,7
FDI24,12.792854228644991,0,0.07836248400000001,177.937,OUT027,24,1,2,3,6704.606,1,5
FDI19,15.1,0,0.052339069,242.7512,OUT046,12,2,0,1,4119.9704,1,8
FDF24,15.5,2,0.042464962,81.5934,OUT010,11,1,2,0,327.5736,1,0
FDG52,13.65,0,0.06573288299999999,45.7402,OUT049,10,1,0,1,780.9834,1,9
DRF36,16.1,0,0.023625114,189.3846,OUT045,7,1,1,1,3630.6074,0,7
FDS45,12.792854228644991,2,0.051643608,107.3622,OUT019,24,2,0,0,317.5866,1,4
FDX40,12.85,0,0.165694219,39.7164,OUT010,11,1,2,0,231.6984,1,0
DRK12,9.5,0,0.041878397000000005,32.99,OUT035,5,2,1,1,133.16,0,6
DRC27,13.8,0,0.058091482,245.1802,OUT035,5,2,1,1,5650.6446,0,6
FDL58,5.78,2,0.07731122380000001,263.7568,OUT017,2,1,1,1,2636.5679999999998,1,2
NCD30,19.7,1,0.026903714,96.0726,OUT045,7,1,1,1,1272.3438,2,7
NCZ54,14.65,1,0.0813447597,161.5552,OUT010,11,1,2,0,324.9104,2,0
FDE10,6.67,2,0.150554711,130.0626,OUT010,11,1,2,0,131.1626,1,0
FDR44,6.11,2,0.09157041555555556,131.2968,OUT010,11,1,2,0,260.9936,1,0
FDP28,13.65,2,0.13497562800000001,260.0936,OUT010,11,1,2,0,260.9936,1,0
FDX15,17.2,0,0.15616879,160.6578,OUT013,22,0,2,1,3690.5294,1,1
FDA39,6.32,0,0.011040999499999999,40.2822,OUT035,5,2,1,1,1139.1838,1,6
FDY24,4.88,2,0.133700752,52.9298,OUT049,10,1,0,1,1995.4026,1,9
FDC60,5.425,2,0.115119905,88.3514,OUT017,2,1,1,1,1416.8224,1,2
FDH28,15.85,2,0.11003099699999999,37.2506,OUT046,12,2,0,1,265.6542,1,8
FDT25,7.5,0,0.051038045,121.7072,OUT017,2,1,1,1,3552.7088,1,2
DRJ13,12.65,0,0.062837968,161.5578,OUT013,22,0,2,1,2406.867,0,1
NCO07,12.792854228644991,1,0.017116983,211.956,OUT019,24,2,0,0,213.05599999999998,2,4
FDW20,20.75,0,0.024129332000000003,124.17299999999999,OUT013,22,0,2,1,2956.152,1,1
DRF27,12.792854228644991,0,0.049754975,152.134,OUT019,24,2,0,0,153.134,0,4
FDS49,9.0,0,0.07721649277777778,79.7644,OUT035,5,2,1,1,1649.8524,1,6
FDX25,12.792854228644991,0,0.101561568,181.9292,OUT027,24,1,2,3,3101.2964,1,5
NCX42,12.792854228644991,1,0.0059496440000000005,165.6526,OUT027,24,1,2,3,4769.1254,2,5
FDG33,12.792854228644991,2,0.13956116,170.4764,OUT027,24,1,2,3,3435.528,1,5
FDL56,14.1,0,0.126035694,86.4198,OUT045,7,1,1,1,1133.8574,1,7
FDF14,7.55,0,0.027164679,152.334,OUT035,5,2,1,1,2603.278,1,6
NCD06,13.0,1,0.099325278,45.406000000000006,OUT046,12,2,0,1,605.878,2,8
DRM47,12.792854228644991,0,0.04357366,192.8846,OUT027,24,1,2,3,2293.0152,0,5
FDS46,12.792854228644991,2,0.082741482,118.7782,OUT019,24,2,0,0,119.1782,1,4
FDB35,12.3,2,0.064565202,92.9804,OUT013,22,0,2,1,1929.4884,1,1
FDX21,12.792854228644991,0,0.08455456900000001,109.8912,OUT027,24,1,2,3,2074.6328,1,5
NCU05,12.792854228644991,1,0.058451805,79.9618,OUT027,24,1,2,3,241.6854,2,5
NCR38,17.25,1,0.113748685,251.3724,OUT045,7,1,1,1,6795.1548,2,7
NCR18,15.85,1,0.020603511,42.7112,OUT017,2,1,1,1,639.168,2,2
NCU41,18.85,1,0.052044976,192.1846,OUT035,5,2,1,1,3248.4382,2,6
FDY56,16.35,2,0.06276442900000001,227.6062,OUT017,2,1,1,1,7222.5984,1,2
DRJ51,14.1,0,0.08797726199999999,229.0668,OUT035,5,2,1,1,3225.1352,0,6
FDK21,7.905,0,0.010010425,249.0408,OUT035,5,2,1,1,3755.112,1,6
FDY25,12.0,0,0.033946163,179.3976,OUT013,22,0,2,1,3440.8544,1,1
FDU44,12.15,2,0.058414678,163.4552,OUT035,5,2,1,1,974.7312,1,6
FDL43,10.1,0,0.027106459,75.367,OUT049,10,1,0,1,535.969,1,9
FDF05,17.5,0,0.027022882999999998,262.491,OUT017,2,1,1,1,5259.82,1,2
DRF15,12.792854228644991,0,0.058153409,152.034,OUT019,24,2,0,0,306.268,0,4
FDL20,17.1,0,0.128937661,112.3886,OUT018,0,1,2,2,1779.0176,1,3
FDV32,7.785,0,0.088846306,61.451,OUT049,10,1,0,1,759.012,1,9
FDJ34,11.8,2,0.09357779,125.9704,OUT013,22,0,2,1,1877.556,1,1
FDG08,13.15,2,0.165694678,171.8764,OUT045,7,1,1,1,3779.0808,1,7
FDQ04,12.792854228644991,0,0.148392623,41.5796,OUT019,24,2,0,0,41.2796,1,4
FDW13,8.5,0,0.098438394,51.1324,OUT017,2,1,1,1,259.66200000000003,1,2
NCI17,8.645,1,0.143303291,96.34100000000001,OUT013,22,0,2,1,193.082,2,1
FDY03,17.6,2,0.076276208,110.9202,OUT045,7,1,1,1,1687.8029999999999,1,7
FDS12,9.1,0,0.175103435,127.5362,OUT017,2,1,1,1,4655.9394,1,2
FDJ55,12.8,2,0.023511371,225.9404,OUT013,22,0,2,1,4950.8888,1,1
DRK01,7.63,0,0.06105276,95.4436,OUT035,5,2,1,1,1418.154,0,6
FDG28,9.285,2,0.049559042000000005,246.4144,OUT017,2,1,1,1,1225.072,1,2
FDY38,13.6,2,0.119418124,231.03,OUT045,7,1,1,1,5359.69,1,7
FDN01,8.895,0,0.072545601,176.237,OUT045,7,1,1,1,1764.37,1,7
NCR54,16.35,1,0.090486828,195.21099999999998,OUT013,22,0,2,1,2553.343,2,1
FDG29,17.6,0,0.056245075,43.3454,OUT013,22,0,2,1,1006.6896,1,1
FDG24,7.975,0,0.014618973,85.225,OUT013,22,0,2,1,1081.925,1,1
FDG59,15.85,0,0.04347912599999999,36.7164,OUT017,2,1,1,1,308.9312,1,2
FDM28,15.7,0,0.045166237000000005,178.666,OUT013,22,0,2,1,2516.724,1,1
FDW04,8.985,2,0.057827101,128.83100000000002,OUT046,12,2,0,1,1428.141,1,8
FDS26,20.35,0,0.089394766,260.1594,OUT013,22,0,2,1,2093.2752,1,1
FDQ56,6.59,0,0.10550944,85.6908,OUT013,22,0,2,1,1929.4884,1,1
FDK51,19.85,0,0.005234153,264.0884,OUT035,5,2,1,1,5829.7448,1,6
FDL22,16.85,0,0.036390174,91.4488,OUT046,12,2,0,1,2082.6224,1,8
FDH19,12.792854228644991,0,0.03292824,173.1738,OUT027,24,1,2,3,7298.4996,1,5
FDY55,16.75,0,0.081252534,256.4988,OUT013,22,0,2,1,7452.9652,1,1
FDY03,17.6,2,0.076552407,110.5202,OUT017,2,1,1,1,450.0808,1,2
FDK21,7.905,0,0.016758568999999997,250.4408,OUT010,11,1,2,0,500.6816,1,0
FDZ10,12.792854228644991,0,0.044248175,126.20200000000001,OUT027,24,1,2,3,3668.558,1,5
FDZ32,7.785,2,0.038288087,103.1964,OUT018,0,1,2,2,736.3748,1,3
NCZ18,7.825,1,0.186032678,253.0698,OUT035,5,2,1,1,6088.0752,2,6
NCF07,12.792854228644991,1,0.031867464,101.0016,OUT027,24,1,2,3,2125.2336,2,5
DRE49,20.75,0,0.021370201000000002,153.0024,OUT017,2,1,1,1,2277.036,0,2
FDJ08,12.792854228644991,0,0.193772568,190.3846,OUT019,24,2,0,0,573.2538,1,4
FDT39,6.26,2,0.009866049,151.1366,OUT035,5,2,1,1,2267.049,1,6
FDE08,18.2,0,0.082551042,147.3734,OUT010,11,1,2,0,296.9468,1,0
NCD06,13.0,1,0.099729888,46.306000000000004,OUT018,0,1,2,2,559.2719999999999,2,3
FDB57,20.25,2,0.018801549,222.1772,OUT035,5,2,1,1,5559.43,1,6
NCT54,8.695,1,0.11972145099999999,95.5094,OUT049,10,1,0,1,1237.7222,2,9
DRF49,7.27,0,0.071222087,113.5518,OUT045,7,1,1,1,569.259,0,7
FDM25,12.792854228644991,2,0.060371962,174.0712,OUT027,24,1,2,3,3866.9664,1,5
FDF20,12.85,0,0.033287541000000004,198.4768,OUT045,7,1,1,1,1379.5376,1,7
FDH27,7.075,0,0.05858462,142.7128,OUT018,0,1,2,2,1869.5664,1,3
FDV60,12.792854228644991,2,0.11679292,196.21099999999998,OUT027,24,1,2,3,5499.508000000001,1,5
FDY59,8.195,0,0.031452265,94.3462,OUT049,10,1,0,1,925.462,1,9
FDK36,7.09,0,0.00721395,47.9034,OUT035,5,2,1,1,583.2408,1,6
